wkt_geom	localityId	localityName	dataId	x	y	latitude	longitude	zone	altitude	horiz_precision	vert_precision	planeType	dip	dipAzimuth	strike	declination	unitId	timedate	notes
Point (739513.8119059499586001 4488393.01301299966871738)	d6343a5fc622097849fe563840529b32	15L	544b39ce4b54889960b4a2a9506d7473	739513.81190595	4488393.013013	40.51169563	-6.17303005	29T	3.33974462	4.74865153	-1	Bedding	35.47945404	54.32422638	324.32421875	-0.25527954	Ms+Qtz+Ss	Fri Aug 30 14:43:36 2024	
Point (739509.5911879800260067 4488398.47594971023499966)	d6343a5fc622097849fe563840529b32	15L	b19746f59270885d652ece816dacf2ab	739509.59118798	4488398.47594971	40.51174601	-6.17307774	29T	3.19953056	4.74865153	-1	Bedding	36.0722847	42.94341278	312.94342041	-0.25527954	Ms+Qtz+Ss	Fri Aug 30 14:43:23 2024	
Point (739501.63119036005809903 4488399.00111375004053116)	d6343a5fc622097849fe563840529b32	15L	251137c7911bff27f7dc66e684a5dc94	739501.63119036	4488399.00111375	40.51175303	-6.17317138	29T	3.32265186	2.79616667	-1	Bedding	33.63175583	36.74019623	306.74020386	-0.25527954	Ms+Qtz+Ss	Fri Aug 30 14:42:54 2024	
Point (739498.46635131002403796 4488401.26503011956810951)	d6343a5fc622097849fe563840529b32	15L	540e3b26e3d426454ed916b9f5aba420	739498.46635131	4488401.26503012	40.51177431	-6.17320784	29T	3	4.74865153	-1	Bedding	30.17451859	34.87899017	304.8789978	-0.25527954	Ms+Qtz+Ss	Fri Aug 30 14:42:05 2024	
Point (740041.98472873005084693 4488671.42264270037412643)	54937e209fa7524ce50cae57242ee871	113	ef212d4312de92708b4cc195fe19e103	740041.98472873	4488671.4226427	40.51404814	-6.16669775	29T	3.01687503	4.74865153	-1	Bedding	9.59229279	352.32369995	262.32369995	-0.25527954	Qtz	Fri Aug 30 14:04:43 2024	
Point (740072.45151674002408981 4489054.11964124999940395)	691f72111ef0a5ebb2b6855d47e1a6d9	15J	91823d6532d744f93f8a8fb20f2760d9	740072.45151674	4489054.11964125	40.51748281	-6.16619347	29T	8.66626308	4.74865153	-1	Bedding	19.94769478	242.09901428	152.09901428	-0.25527954	Ms+Qtz+Ss	Fri Aug 30 12:44:26 2024	
Point (740071.45461478002835065 4489054.47522625979036093)	691f72111ef0a5ebb2b6855d47e1a6d9	15J	42a2d9465c3bad56fc897521c427cbd8	740071.45461478	4489054.47522626	40.5174863	-6.16620509	29T	5.7074171	4.74865153	-1	Bedding	20.04817963	245.83973694	155.83973694	-0.25527954	Ms+Qtz+Ss	Fri Aug 30 12:44:18 2024	
Point (740093.18782810005359352 4489070.29627410043030977)	691f72111ef0a5ebb2b6855d47e1a6d9	15J	f623f1575e8502d09391e97295afc712	740093.1878281	4489070.2962741	40.51762237	-6.16594285	29T	3.35247087	2.66289117	-1	Bedding	20.61933327	235.97953796	145.97953796	-0.25527954	Qtz	Fri Aug 30 12:42:39 2024	
Point (739981.97482313995715231 4489140.91447168961167336)	691f72111ef0a5ebb2b6855d47e1a6d9	15J	b99857f0283297852d656fece2b0377c	739981.97482314	4489140.91447169	40.51828997	-6.16722731	29T	3.10211182	2.59042716	-1	Bedding	24.76928139	229.57582092	139.57582092	-0.25527954	Qtz	Fri Aug 30 12:19:13 2024	
Point (740003.00170122995041311 4489155.61599806975573301)	691f72111ef0a5ebb2b6855d47e1a6d9	15J	4b8b2a161bf584c4ecc12b751c5cb971	740003.00170123	4489155.61599807	40.51841617	-6.16697382	29T	6.22371389	2.12910711	-1	Bedding	23.05295944	211.50546265	121.50546265	-0.25527954	Ms+Qtz+Ss	Fri Aug 30 12:12:54 2024	
